DEPARTAMENTO_PRESTACION,MUNICIPIO_PRESTACION,SERVICIO,ESTADO,NOMBRE,NIT,DEPARTAMENTO_DOMICILIO,MUNICIPIO_DOMICILIO,DIRECCION,TELEFONO,EMAIL,TIPO_INSCRIPCION,REPRESENTANTE_LEGAL,TIPO_PRESTADOR,CLASIFICACION
ANTIOQUIA,DONMATIAS,ACUEDUCTO,OPERATIVA,SERVIDONMATIAS ESP SAS,,ANTIOQUIA,DONMATIAS,CALLE 30 30-13,8663960,Servidonmatias@gmail.com,Registro por la ESP,MARTHA YANETH LONDONO PEREZ,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,DONMATIAS,ASEO,OPERATIVA,SERVIDONMATIAS ESP SAS,,ANTIOQUIA,DONMATIAS,CALLE 30 30-13,8663960,Servidonmatias@gmail.com,Registro por la ESP,MARTHA YANETH LONDONO PEREZ,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,DONMATIAS,ACUEDUCTO,OPERATIVA,SECRETARIA DE SERVICIOS PUBLICOS DEL MUNICIPIO DE DONMATIAS,,ANTIOQUIA,DONMATIAS,Carrera 30 No. 29-59 ,8663243,serviciospublicos@donmatias-antioquia.gov.co,Registro por la ESP,JAVIER DARIO LOPEZ RESTREPO,MUNICIPIO (PRESTACIÓN DIRECTA),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EBEJICO,ACUEDUCTO,OPERATIVA,JUNTA ADMINISTRADORA DEL SERVICIO DE ACUEDUCTO DE LA VEREDA EL ZARZAL,,ANTIOQUIA,EBEJICO,VEREDA EL ZARZAL,8562823,yolima.bedoya@hotmail.com,Registro por la ESP,GIL MILLER BEDOYA HOLGUIN,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EBEJICO,ALCANTARILLADO,OPERATIVA,EMPRESA DE SERVICIOS PUBLICOS DE EBEJICO E.S.P.E.,,ANTIOQUIA,EBEJICO,CALLE 20 X CARRERA 20 BAJOS DE LA NORMAL,8562859,espeebejico@edatel.net.co,Registro por la ESP,SANDRA PATRICIA GUERRA ORREGO,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EBEJICO,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS  DEL ACUEDUCTO MULTIVEREDAL LAS NIEVES ,,ANTIOQUIA,EBEJICO,CALLE DE COMERCIO,8577339,acuanieves2001@yahoo.es,Registro por la ESP,GLADIS DEL SOCORRO  CARMONA  ZAPATA ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EBEJICO,ASEO,OPERATIVA,EMPRESA DE SERVICIOS PUBLICOS DE EBEJICO E.S.P.E.,,ANTIOQUIA,EBEJICO,CALLE 20 X CARRERA 20 BAJOS DE LA NORMAL,8562859,espeebejico@edatel.net.co,Registro por la ESP,SANDRA PATRICIA GUERRA ORREGO,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EBEJICO,ASEO,OPERATIVA,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,,ANTIOQUIA,MEDELLIN,CARRERA 58 No 42-125,3807946,contacto@emvarias.com.co,Registro por la ESP,JORGE LENIN URREGO ANGEL,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EBEJICO,ACUEDUCTO,OPERATIVA,EMPRESA DE SERVICIOS PUBLICOS DE EBEJICO E.S.P.E.,,ANTIOQUIA,EBEJICO,CALLE 20 X CARRERA 20 BAJOS DE LA NORMAL,8562859,espeebejico@edatel.net.co,Registro por la ESP,SANDRA PATRICIA GUERRA ORREGO,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EBEJICO,ACUEDUCTO,OPERATIVA,ASOCIACION DE SUSCRIPTORES Y USUARIOS DEL ACUEDUCTO CORREGIMIENTO EL BRASIL-EBEJICO-ANTIOQUIA,,ANTIOQUIA,EBEJICO,EL BRASIL-EBEJICO-ANTIOQUIA,8563420,acueductobrasil19@hotmail.com,Registro por la ESP,DULFAN DE JESUS PULGARIN MUÑOZ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EBEJICO,ACUEDUCTO,OPERATIVA,EMPRESA DE SERVICIOS PUBLICOS DE EBEJICO E.S.P.E.,,ANTIOQUIA,EBEJICO,CALLE 20 No 18-11,8562859,espeebejico@edatel.net.co,Registro por la ESP,ANIBAL DE JESUS MUÑOZ ARAQUE,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EBEJICO,ASEO,OPERATIVA,EMPRESA DE SERVICIOS PUBLICOS DE EBEJICO E.S.P.E.,,ANTIOQUIA,EBEJICO,CALLE 20 No 18-11,8562859,espeebejico@edatel.net.co,Registro por la ESP,ANIBAL DE JESUS MUÑOZ ARAQUE,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EBEJICO,ALCANTARILLADO,OPERATIVA,EMPRESA DE SERVICIOS PUBLICOS DE EBEJICO E.S.P.E.,,ANTIOQUIA,EBEJICO,CALLE 20 No 18-11,8562859,espeebejico@edatel.net.co,Registro por la ESP,ANIBAL DE JESUS MUÑOZ ARAQUE,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EL BAGRE,ACUEDUCTO,OPERATIVA,EMPRESA MUNICIPAL DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL MUNICIPIO DE EL BAGRE ANTIOQUIA SA ESP,,ANTIOQUIA,EL BAGRE,CALLE 54 No 48 33,8370340,aguaselbagre@elbagre-antioquia.gov.co,Registro por la ESP,JUAN CARLOS MONTIEL BENITEZ,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL BAGRE,ALCANTARILLADO,OPERATIVA,EMPRESAS PUBLICAS DE EL BAGRE E.S.P.,,ANTIOQUIA,EL BAGRE,CALLE 54 No. 48-33,8370340,espelbagre@gmail.com,Registro por la ESP,ROIMIR EDUARDO DURAN MAURY,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL BAGRE,ACUEDUCTO,OPERATIVA,EMPRESAS PUBLICAS DE EL BAGRE E.S.P.,,ANTIOQUIA,EL BAGRE,CALLE 54 No. 48-33,8370340,espelbagre@gmail.com,Registro por la ESP,ROIMIR EDUARDO DURAN MAURY,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL BAGRE,ASEO,OPERATIVA,EMPRESA MUNICIPAL DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL MUNICIPIO DE EL BAGRE ANTIOQUIA SA ESP,,ANTIOQUIA,EL BAGRE,CALLE 54 No 48 33,8370340,aguaselbagre@elbagre-antioquia.gov.co,Registro por la ESP,JUAN CARLOS MONTIEL BENITEZ,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL BAGRE,ASEO,OPERATIVA,EMPRESAS PUBLICAS DE EL BAGRE E.S.P.,,ANTIOQUIA,EL BAGRE,CALLE 54 No. 48-33,8370340,espelbagre@gmail.com,Registro por la ESP,ROIMIR EDUARDO DURAN MAURY,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL BAGRE,ALCANTARILLADO,OPERATIVA,EMPRESA MUNICIPAL DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL MUNICIPIO DE EL BAGRE ANTIOQUIA SA ESP,,ANTIOQUIA,EL BAGRE,CALLE 54 No 48 33,8370340,aguaselbagre@elbagre-antioquia.gov.co,Registro por la ESP,JUAN CARLOS MONTIEL BENITEZ,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ACUEDUCTO,OPERATIVA,ASOCIACION DE SOCIOS DEL ACUEDUCTO Y ALCANTARILLADO CAMPOALEGRE,,ANTIOQUIA,EL CARMEN DE VIBORAL,VEREDA CAMPO ALEGRE,5430827,asocaguaviva@yahoo.es,Registro por la ESP,ALBERTO DE JESUS RINCON OROZCO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ACUEDUCTO,OPERATIVA,ASOCIACION DE SOCIOS DEL ACUEDUCTO SONADORA GARZONAS DE EL MUNICIPIO DE EL CARMEN DE VIBORAL,,ANTIOQUIA,EL CARMEN DE VIBORAL,Vereda La Sonadora,5630563,monykmar@yahoo.com,Registro por la ESP,JAVIER DE JOSE CASTAÑEDA LLANO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ACUEDUCTO,OPERATIVA,ASOCIACION DE SOCIOS DEL ACUEDUCTO CAMARGO DE LA VEREDA CAMARGO,,ANTIOQUIA,EL CARMEN DE VIBORAL,CALLE 25 No 32-13,5430827,asocaguaviva@yahoo.es,Registro por la ESP,FRANCISCO JAVIER OSORIO GARCIA,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ACUEDUCTO,OPERATIVA,ASOCIACION DE SOCIOS DEL ACUEDUCTO LA CHAPA,,ANTIOQUIA,EL CARMEN DE VIBORAL,Vereda La Chapa,5436248,monykmar@yahoo.com,Registro por la ESP,FRANCISCO EDUARDO ARCILA QUINTERO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO AGUAS CLARAS DEL MUNICIPIO DE EL CARMEN DE VIBORAL,,ANTIOQUIA,EL CARMEN DE VIBORAL,VEREDA AGUAS CLARAS,5630472,monykmar@yahoo.com,Registro por la ESP,GILBERTO CASTAÑEDA  SILVA,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ACUEDUCTO,OPERATIVA,ASOCIACIÓN DE SOCIOS DEL ACUEDUCTO LA PALMA RIVERA ALTO GRANDE,,ANTIOQUIA,EL CARMEN DE VIBORAL,calle 29 No. 28-46,5436248,lestelaeg@yahoo.es,Registro por la ESP,ISNELIA DEL SOCORRO GOMEZ ZULUAGA,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ACUEDUCTO,OPERATIVA,ASOCIACION DE SOCIOS DEL ACUEDUCTO EL DRAGAL Y LA MORENA,,ANTIOQUIA,EL CARMEN DE VIBORAL,CALLE 33 NRO 30-60,5430827,asocaguaviva@yahoo.es,Registro por la ESP,JULIO ELICER GOMEZ  GARCIA ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ACUEDUCTO,OPERATIVA,ASOCIACION DE SOCIOS DEL ACUEDUCTO BOQUERON DEL MUNICIPIO DE EL CARMEN DE VIBORAL ,,ANTIOQUIA,EL CARMEN DE VIBORAL,CRA 29 No29-61,5430827,asocaguaviva@yahoo.es,Registro por la ESP,MONICA LILIANA GALLEGO PEREZ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ASEO,OPERATIVA,CICLO TOTAL SAS E.S.P,,ANTIOQUIA,MEDELLIN,CARRERA 31 17SUR-34 INT.110,5485698,ciclototalesp@hotmail.com,Registro por la ESP,SANTIAGO MONROY GAVIRIA,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ACUEDUCTO,OPERATIVA,ASOCIACION DE SOCIOS DEL ACUEDUCTO Y ALCANTARILLADO BETANIA DEL MUNICIPIO DE EL CARMEN DE VIBORAL,,ANTIOQUIA,EL CARMEN DE VIBORAL,CALLE 22 No 30-13 LC 2,5430827,asocaguaviva@yahoo.es,Registro por la ESP,JUAN MANUEL BETANCUR LONDOÑO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ACUEDUCTO,OPERATIVA,ASOCIACION DE SOCIOS DEL ACUEDUCTO EL CERRO SAMARIA LA MILAGROSA QUIRAMA CRISTO REY  EL SALADO,,ANTIOQUIA,EL CARMEN DE VIBORAL,CRA 30 No 29-72 OF 204,5668386,asocaguaviva@yahoo.es,Registro por la ESP,JESUS EMILIO JIMENEZ HOYOS,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ALCANTARILLADO,OPERATIVA,EMPRESA DE SERVICIOS PÚBLICOS DE EL CARMEN DE VIBORAL E.S.P.,,ANTIOQUIA,EL CARMEN DE VIBORAL,Carrera 30 No 29 - 90 2 Piso,5432127,lacimarrona.esp@lacimarronaesp.gov.co,Registro por la ESP,LILIANA ISABEL VALENCIA BETANCUR,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ASEO,OPERATIVA,COOPERATIVA DE TRABAJO ASOCIADO ALBORADA,,ANTIOQUIA,EL CARMEN DE VIBORAL,CALLE 30 #30-59 PISO 2,5431616,coalborada@une.net.co,Registro por la ESP,ELCY MORENO BETANCUR,ORGANIZACION AUTORIZADA,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ASEO,OPERATIVA,CORPORACIÓN DE RECICLADORES DE ANTIOQUIA,,ANTIOQUIA,MARINILLA,CARRERA 30A 20-80,5485698,ciclototalesp@hotmail.com,Registro por la ESP,SANTIAGO ALONSO ZULUAGA JARAMILLO,ORGANIZACION AUTORIZADA,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ACUEDUCTO,OPERATIVA,EMPRESA DE SERVICIOS PÚBLICOS DE EL CARMEN DE VIBORAL E.S.P.,,ANTIOQUIA,EL CARMEN DE VIBORAL,Carrera 30 No 29 - 90 2 Piso,5432127,lacimarrona.esp@lacimarronaesp.gov.co,Registro por la ESP,LILIANA ISABEL VALENCIA BETANCUR,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ASEO,OPERATIVA,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,,ANTIOQUIA,MEDELLIN,CARRERA 58 No 42-125,3807946,contacto@emvarias.com.co,Registro por la ESP,JORGE LENIN URREGO ANGEL,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA AURORA VIBORAL,,ANTIOQUIA,EL CARMEN DE VIBORAL,CRA 29 No 29-61,5430827,asocaguaviva@yahoo.es,Registro por la ESP,HERNAN DARIO RAMIREZ MORENO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ALCANTARILLADO,OPERATIVA,ASOCIACION DE SOCIOS DEL ACUEDUCTO Y ALCANTARILLADO CAMPOALEGRE,,ANTIOQUIA,EL CARMEN DE VIBORAL,VEREDA CAMPO ALEGRE,5430827,asocaguaviva@yahoo.es,Registro por la ESP,ALBERTO DE JESUS RINCON OROZCO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,EL CARMEN DE VIBORAL,ASEO,OPERATIVA,EMPRESA DE SERVICIOS PÚBLICOS DE EL CARMEN DE VIBORAL E.S.P.,,ANTIOQUIA,EL CARMEN DE VIBORAL,Carrera 30 No 29 - 90 2 Piso,5432127,lacimarrona.esp@lacimarronaesp.gov.co,Registro por la ESP,LILIANA ISABEL VALENCIA BETANCUR,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL SANTUARIO,ACUEDUCTO,OPERATIVA,EMPRESAS PUBLICAS DEL MUNICIPIO DE EL SANTUARIO E.S.P.,,ANTIOQUIA,EL SANTUARIO,Car 42 # 49-39,5464981,elsantuarioesp@une.net.co,Registro por la ESP,ALEXANDRA ZULUAGA GOMEZ,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL SANTUARIO,ASEO,OPERATIVA,CORPORACIÓN DE RECICLADORES DE ANTIOQUIA,,ANTIOQUIA,MARINILLA,CARRERA 30A 20-80,5485698,ciclototalesp@hotmail.com,Registro por la ESP,SANTIAGO ALONSO ZULUAGA JARAMILLO,ORGANIZACION AUTORIZADA,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL SANTUARIO,ASEO,OPERATIVA,EMPRESAS PUBLICAS DEL MUNICIPIO DE EL SANTUARIO E.S.P.,,ANTIOQUIA,EL SANTUARIO,Car 42 # 49-39,5464981,elsantuarioesp@une.net.co,Registro por la ESP,ALEXANDRA ZULUAGA GOMEZ,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL SANTUARIO,ASEO,OPERATIVA,CORPORACION DE SERVICIOS AMBIETALES TIERRA DE COLORES,,ANTIOQUIA,EL SANTUARIO,CARRERA 50B #52A-49,5462506,corporaciontierracolor@hotmail.com,Registro por la ESP,RUBIELA AMPARO BOTERO GOMEZ,ORGANIZACION AUTORIZADA,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL SANTUARIO,ALCANTARILLADO,OPERATIVA,EMPRESAS PUBLICAS DEL MUNICIPIO DE EL SANTUARIO E.S.P.,,ANTIOQUIA,EL SANTUARIO,Car 42 # 49-39,5464981,elsantuarioesp@une.net.co,Registro por la ESP,ALEXANDRA ZULUAGA GOMEZ,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,EL SANTUARIO,ASEO,OPERATIVA,CICLO TOTAL SAS E.S.P,,ANTIOQUIA,MEDELLIN,CARRERA 31 17SUR-34 INT.110,5485698,ciclototalesp@hotmail.com,Registro por la ESP,SANTIAGO MONROY GAVIRIA,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ENTRERRIOS,ASEO,OPERATIVA,UNIDAD DE SERVICIOS PÚBLICOS DEL MUNICIPIO DE ENTRERRIOS,,ANTIOQUIA,ENTRERRIOS,CALLE 10A 11-28,5670411,servicios@entrerrios-antioquia.gov.co,Registro por la ESP,OSCAR ALBERTO PEREZ BETANCUR,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENTRERRIOS,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS PROPIETARIOS DEL ACUEDUCTO MULTIVEREDAL LA VETA E.S.P ,,ANTIOQUIA,ENTRERRIOS,CALLE 10 N 12-25 LOCAL 120 CENTRO COMERCIAL HOTEL  CAPILLA DEL RIO,8671109,AcueductoLaVeta@hotmail.com,Registro por la ESP,LUIS ARGIRO LOPERA AVENDAÑO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENTRERRIOS,ACUEDUCTO,OPERATIVA,UNIDAD DE SERVICIOS PÚBLICOS DEL MUNICIPIO DE ENTRERRIOS,,ANTIOQUIA,ENTRERRIOS,CALLE 10A 11-28,5670411,servicios@entrerrios-antioquia.gov.co,Registro por la ESP,OSCAR ALBERTO PEREZ BETANCUR,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENTRERRIOS,ALCANTARILLADO,OPERATIVA,UNIDAD DE SERVICIOS PÚBLICOS DEL MUNICIPIO DE ENTRERRIOS,,ANTIOQUIA,ENTRERRIOS,CALLE 10A 11-28,5670411,servicios@entrerrios-antioquia.gov.co,Registro por la ESP,OSCAR ALBERTO PEREZ BETANCUR,MUNICIPIO (PRESTACIÓN DIRECTA),HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ASEO,OPERATIVA,PRECOOPERATIVA DE RECUPERADORES PREAMBIENTALES ENVIGADO ,,ANTIOQUIA,ENVIGADO,Calle 46 A Sur N° 49-99,3321577,recuperadorespreambientalesenv@yahoo.com,Registro por la ESP,EUGENIO  RESTREPO  SANCHEZ ,ORGANIZACION AUTORIZADA,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ACUEDUCTO,OPERATIVA,JUNTA ADMINISTRADORA ACUEDUCTO VEREDAL MORGAN,,ANTIOQUIA,ENVIGADO,VEREDA LAS PALMAS KM. 17,3861165,acueductomorgan@hotmail.com,Registro por la ESP,FRANCISCO JAVIER GARZON MORENO ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ASEO,OPERATIVA,CORPORACIÓN DE RECICLADORES DE ANTIOQUIA,,ANTIOQUIA,MARINILLA,CARRERA 30A 20-80,5485698,ciclototalesp@hotmail.com,Registro por la ESP,SANTIAGO ALONSO ZULUAGA JARAMILLO,ORGANIZACION AUTORIZADA,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ACUEDUCTO,OPERATIVA,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,,ANTIOQUIA,MEDELLIN,CRA 58 No 42-125 Edificio Inteligente,3808080,epm@epm.com.co,Registro por la ESP,JORGE ALBERTO JULIAN LONDONO DE LA CUESTA ,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO SAN JOSE DEL SECTOR LA MINA Y SAN JOSE,,ANTIOQUIA,ENVIGADO,cra 29 A No 40 C sur 79,3313860,ladyyeseniaguerradiez@hotmail.com,Registro por la ESP,LADY YESENIA GUERRA DIEZ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS ACUEDUCTO LA PAVITA,,ANTIOQUIA,ENVIGADO,calle 40 sur #24 c 48 el salado,2769297,jfredyguerra@gmail.com,Registro por la ESP,JOHN FREDY GUERRA MONSALVE,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
,,Inscripción Oficio Delegada AAA,,ACUEDUCTO ACARICUARA,,VAUPES,MITU,COMUNIDAD ACARICUARA,,,Registro por oficio,  ,,
ANTIOQUIA,ENVIGADO,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO URBANIZACION LAS PALMAS ,,ANTIOQUIA,ENVIGADO,VIA LAS PALMAS KM 16,3861017,asopalmas@hotmail.com,Registro por la ESP,ALONSO RESTREPO ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ACUEDUCTO,OPERATIVA,ACUEDUCTO LOMA EL ESCOBERO,,ANTIOQUIA,ENVIGADO,Calle 36D Sur No 25A 71 Interior 109,3361669,acuescobero@une.net.co,Registro por la ESP,GABRIEL JAIME MEJIA RUIZ,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ACUEDUCTO,OPERATIVA,ASOCIACION DEL ACUEDUCTO Y/O ALCANTARILLADO CHINGUI NO1,,ANTIOQUIA,ENVIGADO,CALLE 39BSUR No 25AA102,3335068,penazur@une.net.co,Registro por la ESP,MIGUEL ANGEL OLAYA RESTREPO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIO DE ACUEDUCTO PANTANILLO,,ANTIOQUIA,ENVIGADO,Vereda Pantanillo Envigado,5380919,asopantanillo@gmail.com,Registro por la ESP,JUAN CARLOS RIOS RIOS,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ACUEDUCTO,OPERATIVA,ASOCIACION DEL ACUEDUCTO CRISTAL PEÑAZUL E.S.P.,,ANTIOQUIA,ENVIGADO,Calle. 40Sur No.24DE10,3333300,penazur@une.net.co,Registro por la ESP,FERNANDO DE JESUS OSORIO HENAO,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ACUEDUCTO,OPERATIVA,ASOSIACION DE USUARIOS ACUEDUCTO APURES ESP,,ANTIOQUIA,ENVIGADO,Urbanizacion san sebastian ,3860292,acueductoapures@hotmail.com,Registro por la ESP,LUZ ELENA RIOS URIBE,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ACUEDUCTO,OPERATIVA,ASOCIACION DE SOCIOS ACUEDUCTO Y/O ALCANTARILLADO DEL BARRIO EL SOCORRO,,ANTIOQUIA,ENVIGADO,CALLE 40 SUR 24 E 19,3325028,acueductoelsocorro@hotmail.com,Registro por la ESP,JOSE REINEIRO HIGUITA ZAPATA,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ACUEDUCTO,OPERATIVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y/O ALCANTARILLADO DEL SECTOR LA CATEDRAL Y ARENALES,,ANTIOQUIA,ENVIGADO,carrera 29 #40sur-10  b. san jose,3314900,gloria_acued@hotmail.com,Registro por la ESP,LUIS BERNARDO TORRES  PARRA,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ASEO,OPERATIVA,ENVIASEO E.S.P.,,ANTIOQUIA,ENVIGADO,Cra. 43A # 46A sur 39,4032000,gerencia@enviaseo.gov.co,Registro por la ESP,PABLO ANDRES RESTREPO GARCES,EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO,MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ASEO,OPERATIVA,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,,ANTIOQUIA,MEDELLIN,CARRERA 58 No 42-125,3807946,contacto@emvarias.com.co,Registro por la ESP,JORGE LENIN URREGO ANGEL,SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS),MAS DE 2500 SUSCRIPTORES
ANTIOQUIA,ENVIGADO,ACUEDUCTO,OPERATIVA,CORPORACION DE ACUEDUCTO  SAN PEDRO,,ANTIOQUIA,MEDELLIN,Corregimiento Santa Elena,4481519,llanoplan@une.net.co,Registro por la ESP,GUILLERMO MAURICIO ORTEGA LOAIZA,ORGANIZACION AUTORIZADA,HASTA 2500 SUSCRIPTORES
